Id,Classification,title,Tags,Score,ViewCount,AnswerCount,CommentCount,CreationDate,LastActivityDate
45153477,Configuration,Cross join runtime error: Use the CROSS JOIN syntax to allow cartesian products between these relations,<scala><apache-spark><apache-spark-sql>,4,4430,2,4,2017-07-17 20:52,2017-07-18 15:42
49151722,Data Sources,How to write file to cassandra from spark,<scala><hadoop><apache-spark><cassandra><apache-spark-sql>,1,1993,1,0,2018-03-07 12:15,2018-03-07 12:47
28942376,Data processing,What nodes are used in aggregation and reduction for reduce?,<apache-spark>,3,473,1,0,2015-03-09 12:47,2016-12-29 09:20
36728627,Data processing,How to correlate all combination of arrays in an RDD?,<hadoop><apache-spark><pyspark>,1,47,1,1,2016-04-19 20:19,2016-04-20 07:20
42886734,Data processing,What is difference between calling someRDD.collect.foreach(println) vs someRDD.foreach(println),<scala><apache-spark>,1,724,1,0,2017-03-19 12:44,2017-03-19 13:11
47597970,Performance and Logging,How to join two JDBC tables and avoid Exchange?,<apache-spark><apache-spark-sql>,3,413,1,7,2017-12-01 16:55,2017-12-05 22:42
41972210,Data Sources,Spark TypeError: LongType can not accept object u'Value' in type <type 'unicode'>,<python><apache-spark><spark-dataframe><parquet>,1,1898,1,0,2017-02-01 05:00,2017-02-01 10:12
54012658,Spark API Usage,Why does streaming query with socket source and multiple sinks not work?,<apache-spark><spark-structured-streaming>,1,101,1,0,2019-01-02 20:21,2019-01-03 17:54
38118582,Configuration,Spark (Java) to Elasticsearch,<java><maven><elasticsearch><apache-spark><elasticsearch-hadoop>,1,1105,1,0,2016-06-30 09:08,2016-06-30 12:39
57610268,Data processing,Scala: copying a dataframe column into array and preserving the original order,<scala><apache-spark>,2,30,1,4,2019-08-22 13:16,2019-08-22 15:50
50363487,Data processing,"leftOuterJoin JavaPairRDD<Integer, Integer> and JavaPairRDD<Integer, Map<Integer, Integer>>",<java><apache-spark>,2,236,1,0,2018-05-16 06:05,2018-05-16 06:45
28803989,Data Sources,Creating Hive table - how to derive column names from CSV source?,<mysql><csv><hadoop><hive><apache-spark>,1,1851,2,0,2015-03-02 06:40,2015-03-02 15:48
48869922,Data processing,How to efficiently check if a list of words is contained in a Spark Dataframe?,<python><apache-spark><dataframe><pyspark>,3,2747,2,1,2018-02-19 16:07,2018-08-16 19:26
50468056,Data processing,Get the last value using spark window function,<apache-spark><apache-spark-sql>,3,1930,1,0,2018-05-22 12:43,2018-05-22 13:36
34353995,Performance and Logging,Spark custom log4j integration for Scala application,<scala><maven><apache-spark><log4j><hortonworks-data-platform>,1,858,2,0,2015-12-18 10:55,2016-02-09 04:21
32079372,Data processing,Finding total number of lines in hdfs distributed file using command line,<unix><hadoop><apache-spark><hdfs>,1,10582,6,1,2015-08-18 17:52,2017-07-02 05:08
37228577,Data processing,spark reduceByKey() not shuffling for the final sum,<java><apache-spark>,1,233,1,6,2016-05-14 15:36,2016-05-14 21:39
38957363,Data processing,Why is there no `reduceByValue` in Spark collections?,<scala><apache-spark>,1,579,1,6,2016-08-15 14:45,2016-08-15 17:51
38304541,Data processing,Index out of range while converting from rdd to dataframe,<apache-spark><pyspark-sql>,1,1025,2,0,2016-07-11 10:22,2016-07-11 13:52
